aciklama,cilttipi,cilt_problemi,onerilen_urun
Yanaklarımda kaşınan kırmızı noktalar belirdi.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde dokununca acıtan şişlikler çıktı, içi dolu gibi duruyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda gözle zor görünen siyah gölgeler var, parmakla hissediliyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde soluk beyaza yakın yuvarlak lekeler var, renk fark ediyor.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda yanma, kaşıntı ve kızarıklık aynı anda başladı.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı, sert, hassas bir şişlik çıktı, bastırınca acıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde hafif kahverengi gölgeler belirdi, özellikle elmacık kemiklerinde.",normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki gözenekler dolmuş gibi hissediliyor, tıkanmış gibi.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda esnekliği kaybetmiş gibi bir gevşeklik hissediyorum.,normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde ince çizgiler arttı, özellikle göz kenarında makyaj oturmuyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde sıcaklık artışı, yanma ve hafif kızarıklık oldu.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda küçük kabuklanmalar ve kaşıntı var, sürekli soyuluyor.",hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde küçük beyaz başlı kabarcıklar oluştu, içinden beyaz bir madde çıktı.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda gözenekler kapanmıyor, sürekli doluyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu lekeler arttı, sabahları aynada daha belirgin oluyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda kaşıntılı, kırmızı noktalar arttı.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı, şiş, dokununca acıtan büyük bir kitle çıktı.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar sıktıktan bir gün sonra tekrar çıktı.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli, soluk yuvarlak lekeler oluştu.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hafif kızarıklık var.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Son zamanlarda göz kenarımda ince çizgiler fark etmeye başladım.,normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda bir süredir esnekliğin kaybolduğunu hissediyorum, biraz sarkmış gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumun üstünde gözenekler çok belirgin hale geldi, minik çukurlar gibi duruyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde kahverengi noktalar çoğaldı, bazen daha koyu bazen daha açık oluyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kış boyunca yanaklarımda ufak ufak döküntüler ve soyulmalar oldu.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Bacaklarımda epilasyon sonrası bazı yerler kızardı ve altında kıl kaldı gibi görünüyor.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde büyük bir şişlik çıktı, bastırınca çok ağrı yapıyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda minik siyah lekeler var, parmakla bastırınca içlerinden bir şey çıkıyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik kırmızı kabarcıklar belirdi, kaşımak istiyorum ama batıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde kaşıntılı kırmızı döküntüler yayılmaya başladı, kabuk da yaptı.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok hassaslaştı, parfümlü sabun değdiği an kızarıyor.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumdaki siyah lekeler sürekli geri geliyor, temizlenmesine rağmen hep dolu.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda açık renkli soluk yuvarlak izler fark ettim.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz çevremde minik kırışıklıklar var, özellikle gülünce daha çok belli oluyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde ani bir yanma hissi başladı, aynada kıpkırmızı görünüyordum.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kaşınan ve soyulan kırmızı bir bölge var, sürekli kabuk bağlıyor.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı minik kabarcıklar çıktı, sıkınca içinden beyaz bir şey geldi.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Nemlendirici sürmeme rağmen yanaklarımda soyulmalar durmadı.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Yüzümde alerjik bir şişlik oluştu, hafif gerginlik hissediyorum.",hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yanaklarımda geçmeyen kırmızı alanlar var, bazen yanıyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük bir kızarık kitle çıktı, dokununca ağrıyor ve sert.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Güneşe çıktıktan sonra yanaklarımda koyu lekeler oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda hafif bir içe göçüklük hissediyorum, sanki eski dolgunluğu yok.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki delik gibi gözenekler iyice açıldı, makyaj bile kapatmıyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik kabuklar ve soyulmalar var, pudra bile kötü duruyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Bacak epilasyonu sonrası minik kırmızı kabarcıklar çıktı, kaşınıyor.",normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde kırmızı pullu döküntüler yayıldı, çok kaşıntılı.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda minik siyah gölgeler oluştu, sıktıktan sonra tekrar doluyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli gölgeler arttı, kapatıcı bile yeterli gelmiyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda minik kırmızı noktalar kaşınıyor, bazen kabuk bağlıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük şişlikler çıktı, dokununca bastırınca bile zonkluyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar sıkılsa bile ertesi gün geri geliyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli yuvarlak izler oluştu, güneşle belirginleşiyor.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda yanma, tahriş ve kızarıklık aynı anda başladı.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı, ağrılı, sert bir şişlik çıktı, büyümeye devam ediyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde hafif kahverengi gölgeler oluştu, güneşte koyulaşıyor.",normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki geniş gözenekler sürekli doluyor, temizlesem de açık kalıyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda hafif sarkma hissi oluştu, aynada fark ediyorum.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde göz kenarımda ince çizgiler arttı, kapatıcı çizgilere doluyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde sıcaklık ve hafif yanma başladı, aynada kızarıklık görünüyordu.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kabuk kabuk döküntüler oluştu, kaşıdığımda pullar dökülüyor.",hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı ufak kabarcıklar var, üzerine bastığımda sıvı çıkıyor.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda gözenek tıkanıklığı nedeniyle noktalar birikti, siyah duruyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli lekeler arttı, fondöten bile kapatamıyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda kırmızı kabarcıklar çıktı, kaşıntılı ve hassas.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kocaman kırmızı şişlik çıktı, bastırınca acıyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki siyah noktalar sıkınca geçmiyor, hemen tekrar oluşuyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli yuvarlak lekeler var, eskiden yoktu.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda yanma, tahriş ve hafif acıma hissediyorum.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Göz kenarımda minik çizgiler çoğaldı, özellikle makyaj yapınca daha belirgin.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda bir süredir esnekliğin azaldığını hissediyorum, yüzüm hafif sarkmış gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumun üstündeki gözenekler o kadar geniş ki delik gibi duruyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde kahverengi noktalar yayıldı, bazıları daha koyu bazıları daha açık.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kış boyunca yanaklarımda küçük küçük döküntüler ve soyulmalar oluştu.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Bacaklarımda epilasyon sonrası deri altında kıl kalmış gibi kırmızı kabarıklıklar var.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Çenemde kocaman kırmızı bir şişlik çıktı, üzerine dokunamıyorum bile.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda küçük siyah noktalar var, bastırınca içlerinden bir şey çıkıyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik kırmızı kabarcıklar çıktı, kaşındıkça daha da kızarıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde kırmızı kabuklu döküntüler yayıldı, çok kaşıntılı.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Cildim çok hassas, yeni sürdüğüm krem anında kızarıklık yaptı.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumdaki siyah noktaları sıkıyorum ama bir gün sonra yine çıkıyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda açık renkli soluk yuvarlak lekeler fark ettim.,normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz çevremde ince çizgiler oluştu, güldüğümde daha da belirgin oluyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde ani bir sıcaklık ve yanma hissi oluştu, aynada kıpkırmızıydım.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Alnımda kaşıntılı kırmızı kabuk kabuk döküntüler çıktı.,hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı küçük kabarcıklar çıktı, üzerine bastığımda beyaz bir şey aktı.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Nemlendirici kullanmama rağmen yanaklarımda dökülmeler hiç durmadı.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Yüzümde hafif bir şişlik var, cildim gergin ve sıcak hissediyorum.",hassas,alerjik reaksiyon,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yanaklarımda geçmeyen kırmızı alanlar var, bazen yanıyor ve kaşınıyor.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı büyük bir şişlik çıktı, bastırınca zonkluyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Güneşe çıktıktan sonra yanaklarımda koyu gölgeler oluştu.,normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda hafif bir çöküklük var, aynada daha içe göçmüş duruyor.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Burnumdaki gözenekler o kadar açık ki fondöten içine doluyor.,yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda minik kabuklar ve soyulmalar oluştu, makyaj hep pütürlü duruyor.",kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Bacaklarımda epilasyon sonrası kızarık kabarıklıklar ve içlerinde kıl görünüyor.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde kırmızı pul pul döküntüler yayıldı, sürekli kaşınıyor.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Burnumda minik siyah gölgeler oluştu, temizledikten sonra bile geri doluyor.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli gölgeler arttı, fondöten kapatmıyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda kaşıntılı kırmızı noktalar çıktı, bazen kabuk bağlıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde büyük şişlikler oluştu, üzerine dokunamıyorum bile.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar sıktıktan sonra bir gün içinde tekrar doluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli yuvarlak lekeler oluştu, özellikle yanak bölgemde.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda yanma, tahriş ve kızarıklık aynı anda başladı.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kırmızı, ağrılı, sert bir kitle çıktı, büyüdükçe daha çok acıtıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık kahverengi gölgeler belirdi, güneşte koyulaşıyor.",normal,güneş lekesi,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumdaki gözenekler dolmuş gibi hissediliyor, parmakla geçince pürüzlü.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda hafif bir esneklik kaybı var, gülünce kırışıyor gibi.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Cildimde göz çevresinde ince çizgiler arttı, kapatıcı çizgilere doluyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde sıcaklık ve yanma hissi başladı, aynada kızarık görünüyorum.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kaşıntılı kabuk kabuk döküntüler var, kaşıyınca pul pul dökülüyor.",hassas,kabuklanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı ufak kabarcıklar çıktı, bastırınca içinden beyaz sıvı geldi.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumdaki gözenekler tıkanmış gibi hissediyorum, içleri siyah noktalarla dolu.",yağlı,gözenek tıkanıklığı,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli lekeler arttı, sabahları aynada daha belirgin görünüyor.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Yanaklarımda kaşıntılı kırmızı döküntüler yayıldı.,hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde kocaman kırmızı bir şişlik çıktı, bastırınca zonkluyor.",yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Burnumdaki siyah noktalar temizlense bile bir gün sonra geri geliyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde açık renkli, soluk yuvarlak lekeler çıktı, güneşte daha fark edilir oluyor.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda tahriş, yanma ve hassasiyet artmaya başladı.",hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Son zamanlarda göz kenarımda çizgiler oluştu, gülünce daha da belirgin oluyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yanaklarımda hafif bir gevşeklik hissediyorum, aynada daha sarkık duruyor.",normal,elastikiyet kaybı,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Burnumda minik delikler gibi gözenekler var, içine makyaj doluyor.",yağlı,geniş gözenek,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde koyu renkli gölgeler yayılmaya başladı, özellikle yanaklarımda.",normal,hiperpigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kış geldiğinden beri yanaklarımda pul pul dökülme ve kuruluk var.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Bacaklarımda epilasyon sonrası deri altında sertleşmiş ufak kabarıklıklar oluştu.,normal,batık kıl,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Çenemde dokununca bile acıtan büyük kırmızı bir şişlik var.,yağlı,şişlik,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Burnumda küçük siyah noktalar birikti, parmakla bastırınca içeriden siyah bir şey çıkıyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda küçük kırmızı kabarcıklar çıktı, kaşıdıkça daha da kızarıyor.",hassas,döküntü,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Yüzümde kırmızı, kabuk kabuk döküntüler yayıldı, çok kaşınıyor.",hassas,egzama,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Cildim o kadar hassas ki nemlendirici bile sürünce kızarıyor.,hassas,tahriş,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Burnumdaki siyah noktaları sıktım ama ertesi gün yine geri geldi.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yanaklarımda açık renkli yuvarlak izler fark ettim, ten renginden açık.",normal,hipopigmentasyon,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Göz çevremde ince çizgiler oluştu, pudra sürünce daha belirginleşiyor.",normal,kırışıklık,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
"Yüzümde aniden sıcaklık ve yanma hissi oluştu, aynaya baktığımda kıpkırmızıydım.",hassas,yanma,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Alnımda kaşıntılı, pullu kırmızı bir döküntü var, kabuk bağlıyor.",hassas,dermatit,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde beyaz başlı küçük kabarcıklar oluştu, sıkınca içinden beyaz madde çıktı.",yağlı,milium,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Nemlendirici sürmeme rağmen yanaklarımda soyulmalar devam ediyor.,kuru,kabuklanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
