hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Atlet Ayağı (Tinea Pedis),"""Ayak tırnaklarım berbat görünüyor! Renkleri bozulmuş ve ufalanıyorlar ve etraflarındaki deri kırmızı ve şiş. Bazen tırnaklarımı ısırıyorum, bunun bir ilgisi olabilir mi?""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Sedef hastalığı,"""Sedef hastalığım cinsel organımda ve çok ağrılı ve utanç verici. Artık partnerimle yakın ilişkiye giremiyorum.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Zona (Herpes Zoster),"""Sırtım son zamanlarda beni öldürüyor, özellikle de bir tarafımda. Sadece kas çekilmesi olduğunu düşünmüştüm ama şimdi bu kırmızı, kaşıntılı döküntünün geliştiğini görüyorum. Daha önce gördüğüm hiçbir şeye benzemiyor ve kesinlikle düzelmiyor.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Akne,"""Doktor, yüzüm son zamanlarda çılgınca sivilceleniyor. Alnımda ve çenemde kocaman sivilceler var ve gerçekten kırmızı ve ağrılı. Reçetesiz satılan bir şeyler denedim ama işe yaramıyor gibi görünüyor. Bana daha güçlü bir şey verebilir misiniz?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Atlet Ayağı (Tinea Pedis),"""Doktor, ayaklarım son zamanlarda çılgınca kaşınıyor, özellikle de parmak aralarım. Koştuktan sonra daha da kötü oluyor ve parmak aralarımdaki deri kızarıp çatlamaya başlıyor.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kontakt Dermatit,"""Göz kapaklarım şiş ve kabarık, kaşıntılı ve ağrılı hissediyorlar. Dün yeni bir göz farı denedim, bunun sebebi bu olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,"""Kardeşim Vitiligo hastası ve yakın zamanda parmaklarımda benzer beyaz lekeler fark ettim. Hastalığın daha da ilerlemesi konusunda endişelenmeli miyim? Bunu önlemek için yapabileceğim bir şey var mı?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Uyuz,"""Birkaç hafta içinde doğum yapacağım ve karnımda ve göğüslerimde korkunç bir kaşıntı var. Beni geceleri uyutmuyor ve bunu bebeğe geçirmekten endişeleniyorum. Ne olabilir?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Kontakt Dermatit,"Kontakt dermatit, tahriş edici maddelere veya alerjenlere maruz kalındığında çeşitli karakteristik semptomlarla ortaya çıkar. Bunlara kızarıklık, kaşıntı ve cilt iltihabı dahildir ve genellikle döküntü veya kabarcıklarla birlikte görülür. Etkilenen bölgede kuruluk, pullanma veya ciltte kalınlaşma gelişebilir. Ağrı veya hassasiyet de yaşanabilir. Kontakt dermatit, karşılaşılan tahriş edici maddeye veya alerjene bağlı olarak farklı şekillerde ortaya çıkabilir ve semptomlar hemen veya uzun süreli maruziyetten sonra ortaya çıkabilir. Şiddetli vakalarda, semptomlar temas alanının ötesine yayılabilir ve rahatsızlığa neden olabilir. Tetikleyicilerin derhal belirlenmesi ve önlenmesi, bu durumu etkili bir şekilde yönetmek için önemlidir.",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
İmpetigo hastalığı,"İmpetigo, oldukça bulaşıcı bir bakteriyel cilt enfeksiyonudur ve genellikle belirgin semptomlarla ortaya çıkar. Bu durum genellikle ağız ve burun çevresinde kırmızı yaralar veya kabarcıklar olarak görülür, ancak vücudun diğer bölgelerinde de görülebilir. Bu yaralar hızla patlayarak bal rengi kabuklar oluşturur. Cilt lezyonlarına kaşıntı, rahatsızlık ve şişmiş lenf düğümleri eşlik edebilir. İmpetigo doğrudan temas yoluyla yayılabilir ve ciddi vakalarda ateş veya şişmiş bezler gelişebilir. Enfeksiyonun yayılmasını önlemek ve komplikasyon riskini en aza indirirken daha hızlı iyileşmeyi kolaylaştırmak için derhal tıbbi müdahale önemlidir",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Akne,"""Sivilcelerim yüzünden aynaya bile bakmak istemiyorum. Kendimi gerçekten bilinçli hissetmeme neden oluyor ve okula gitmek veya kimsenin etrafında olmak istemiyorum. Tekrar özgüvenli hissedebilmem için bunu temizlememe yardım edebilir misin?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Akne,"""Annem ve babamın ikisi de küçükken kötü sivilce sorunu yaşıyordu ve bende de aynı türden sivilceler oluşmaya başladı. Onlarınki kadar kötüleşmesini önlemek için yapabileceğim bir şey var mı?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
İmpetigo hastalığı,"""Dışarıda uyuduğum için yaralarımın etrafında ağrılı sivilceler oluştu. Kabuklanıp yayılıyorlar ve enfeksiyon kapmaktan endişe ediyorum.""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"""Egzama için yeni bir steroid krem kullandıktan sonra, kremi sürdüğüm yerde ağrılı şişlikler oluştu. Kırmızı ve irin dolular ve dokunduğumda acıyorlar.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kontakt Dermatit,"""Ellerim kuru ve çatlamış, bazı yerlerdeki deri soyuluyor. İş yerinde çok fazla kimyasal ve yağ kullanıyorum, bunun sebebi bu olabilir mi?""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"""Doktor, kafa derimde sürekli kızaran ve irin dolu küçük, kaşıntılı şişlikler var. Bazen dokunduğumda acıyor.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Kurdeşenlerim aylardır gelip gidiyor. Her şeyi denedim ama hiçbir şey işe yaramıyor! Uyku düzenimi ve günlük hayatımı etkiliyor.""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Zona (Herpes Zoster),"""Sol omzumda birkaç gündür garip bir karıncalanma ve kaşıntı var. Şimdi, kolumdan aşağı doğru yayılan kırmızı, engebeli bir kızarıklığa dönüştü. Çok rahatsız edici ve bulaşıcı bir şey olabileceğinden endişeleniyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
İmpetigo hastalığı,"""Dün çenemde kırmızı, kaşıntılı kabarcıklar fark ettim. Yayılıyor gibi görünüyorlar ve şimdi kabuk bağladılar. Sanırım spor salonunda bir havluyu paylaştığım için kapmış olabilirim.""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Saçkıran,"Tinea Corporis olarak da bilinen saçkıran, birkaç belirgin semptomla karakterize bir mantar enfeksiyonu olarak ortaya çıkar. Genellikle ciltte kırmızı, pullu yamalar olarak görülür ve genellikle kenarları kabarıktır, bir halkayı andırır. Bu dairesel veya oval şekilli döküntüler kaşıntıya, rahatsızlığa veya yanma hissine neden olabilir. Genellikle kollarda, bacaklarda, gövdede veya yüzde görülür ve enfekte kişilerle veya kirli nesnelerle doğrudan temas yoluyla yayılır. Bazı durumlarda yamaların kırmızı, kabarık bir sınırı olan berrak bir merkezi olabilir. Ek olarak, etkilenen ciltte iltihaplanma veya kabarcıklanma belirtileri görülebilir. Hemen tedavi aramak semptomları hafifletmeye ve enfeksiyonun yayılmasını önlemeye yardımcı olur.",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Zona (Herpes Zoster),"Varisella-zoster virüsünün (suçiçeğine neden olan virüsle aynı) neden olduğu zona, genellikle vücudun bir tarafındaki belirli bir bölgede karıncalanma, yanma veya bıçak saplanır gibi bir ağrıyla başlar. Bu genellikle kırmızı döküntünün ortaya çıkmasından önce gelir ve bu döküntü sıvı dolu kabarcıklara dönüşür. Döküntü, sinirler boyunca bir bant veya şeride benzeyen dermatomal bir deseni izler. Diğer semptomlar arasında kaşıntı, dokunmaya karşı hassasiyet ve bazen ateş, baş ağrısı veya yorgunluk bulunur. Ağrı hafiften şiddetliye kadar değişebilir ve döküntü kaybolduktan sonra bile devam edebilir. Semptomları yönetmek ve komplikasyon riskini azaltmak için derhal tıbbi yardım almak çok önemlidir.",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Saçkıran,"""Bacağımda gümüş rengi ve kuru olan garip bir leke fark ettim. Çok acımıyor ama özellikle geceleri biraz kaşınıyor. Bir tür kızarıklık mı?""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Uyuz,"""Güneydoğu Asya'da sırt çantalı bir geziden yeni döndüm ve kollarımda ve bacaklarımda kaşıntılı şişlikler oluştu. Daha önce yoktular ve bunun yol boyunca edindiğim bir şey olup olmadığını merak ediyorum.""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Atlet Ayağı (Tinea Pedis),"""Yazın tamamını havuzda geçirdikten sonra ayaklarım kaşınmaya ve parmak araları soyulmaya başladı. Derim artık çiğ ve yanıyor ve bulaşıcı bir şey olabileceğinden endişeleniyorum.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Vitiligo,"""Merhaba doktor, göğsümde sürekli beliren bu beyaz noktalar hakkında konuşmayı düşünüyordum. Stresli veya kaygılı olduğumda daha çok ortaya çıkıyorlar ve bunun iş yerindeki özgüvenimi etkileyebileceğinden endişeleniyorum. Neler olduğunu açıklayabilir misiniz ve bununla başa çıkmak için yapabileceğim bir şey var mı?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Egzama,"""Antrenmandan sonra cildim gerçekten tahriş oluyor, özellikle dirseklerim ve dizlerim çevresinde. Kaşınıyor ve ağrıyor ve performansımı etkiliyor.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Uyuz,"""Son zamanlarda özellikle iç uyluklarımda ve karnımda ekstra kaşıntı hissediyorum. Bağışıklık sistemim için ilaç kullanıyorum, bu yüzden mantar enfeksiyonu veya başka bir şey olabileceğinden endişeleniyorum.""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Atlet Ayağı (Tinea Pedis),"""Bugünkü antrenmandan sonra ayaklarım sıcak ve iltihaplı hissetti, özellikle kemerlerin etrafında. Şimdi, çılgınca kaşınıyorlar ve ayak parmaklarımın arasında garip bir beyaz soyulma var.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Saçkıran,"""Koç, göğsümde çok kaşınan ve beni rahatsız etmeyi bırakmayan halka şeklinde bir leke var. Bunun spor salonundaki ortak matı kullanmaktan kaynaklandığını düşünüyorum.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
İmpetigo hastalığı,"""Eşimin ellerinde bahçede çalışmaktan kaynaklandığını söylediği kırmızı, kabuklu yaralar var. Ağrılı ve şiş görünüyorlar ve enfeksiyon kapmış olabileceğinden endişeleniyorum.""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Zona (Herpes Zoster),"""Ben bir öğretmenim ve sürekli olarak hasta çocuklara maruz kalıyorum. Şimdi sırtımda hareket etmeyi zorlaştıran bir yanma döküntüsü var. Bulaşıcı olabileceğimden ve öğrencilerimi riske atabileceğimden endişeleniyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Akne,"""Her zaman biraz sivilcem vardı, ancak son zamanlarda çok daha kötüleşti. Kendimi bilinçli hissetmeden aynaya bile bakamadığımı hissediyorum. Özgüvenimi ve sosyal hayatımı etkiliyor ve bu konuda kendimi gerçekten kötü hissediyorum. Cildimin normale dönmesine yardım edebilir misin?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Gül hastalığı,"""Cildim güneşe karşı çok hassas ve herhangi bir maruziyet rosacea'mı daha da kötüleştiriyor. Kırmızı lekeler ve püstüller oluşuyor ve gözlerim tahriş olmuş ve sulu hissediyor. Alevlenmeleri tetiklemeyen güneş kremi bulmakta zorlanıyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"""Yağ ve gres kullandığımız bir fabrikada çalışıyordum ve şimdi kollarımda ve ön kollarımda bu ağrılı şişlikler var. Siyah noktalara benziyorlar ama giderek büyüyorlar ve daha fazla iltihaplanıyorlar.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"""Uzun zamandır antibiyotik kullanıyorum ve şimdi kollarımda ve bacaklarımda kaşıntılı, kırmızı şişlikler var. Yayılıyor gibi görünüyorlar ve enfeksiyondan endişeleniyorum.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Vitiligo,"""Vitiligo teşhisi kondu ve tedavi seçenekleriyle ilgileniyorum. Kremler, ışık terapisi ve hatta ameliyat hakkında bir şeyler duydum. Her birinin artılarını ve eksilerini açıklayabilir ve vakam için en iyi yaklaşımı bulmama yardımcı olabilir misiniz?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Zona (Herpes Zoster),"""Hamileyim ve kendimi iyi hissetmiyorum. Şimdi karnımda beni gerginleştiren yanma hissi veren bir kızarıklık var. Bebeğe zarar verebileceğinden endişeleniyorum ve ne yapacağımı bilmiyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Saçkıran,"""Kolumdaki bu kırmızı, halka şeklindeki lekeden endişeleniyorum. Bağışıklık sistemim çok iyi değil ve bunun zararsız bir kızarıklıktan daha fazlası olabileceğinden endişeleniyorum.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Uyuz,"""Son zamanlarda uyuz hastası bir hastayı tedavi ediyordum ve şimdi kendim de kaşınmaya başladım, özellikle bileklerimde ve dirseklerimin iç kısmında. Acaba onlardan mı kaptım?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Akne,"""Merhaba doktor, son zamanlarda yüzümde küçük, kaşıntılı şişlikler fark ediyorum. Yayılıyor gibi görünüyorlar ve bazıları küçük beyaz noktalara bile dönüştü. Ne olduklarından emin değilim ama beni rahatsız ediyorlar ve daha da kötüleşebileceklerinden endişeleniyorum. Bir bakabilir misiniz?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Saçkıran,"""Anneciğim, karnım kaşınıyor! Yuvarlak, kırmızı bir leke var ve sürekli kaşımak istiyorum. Üzerine biraz krem sürebilir misin?""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Sedef hastalığı,"""Dirseklerimdeki sedef lekeleri hamile kaldığımdan beri daha da kötü görünüyor. İlaç kullanımı ve bunların bebeğe olan etkisi konusunda endişeliyim.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"""Kollarımda ve bacaklarımda çirkin hissetmeme neden olan kırmızı, engebeli lekeler var. Artık şort veya atlet giymeyi sevmiyorum ve havuzdan kaçınıyorum.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Egzama,"""Ellerimde ve kollarımda kuru, kaşıntılı lekeler oluştu. Bu durum, işte odaklanmamı ve bulaşık yıkamak gibi basit işleri bile yapmamı zorlaştırıyor.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Akne,"""Makyaj yapmayı seviyorum ama son zamanlarda sivilcelerimi daha da kötüleştiriyor gibi görünüyor. Fırçalarımı temiz tutmaya ve komedojenik olmayan ürünler kullanmaya çalışıyorum ama bu işe yaramıyor gibi görünüyor. Sizce makyajı tamamen bırakmanın zamanı geldi mi?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Son zamanlarda stresli hissediyorum ve bugün göğsümde ve sırtımda aniden tüm bu kırmızı kabarıklıklar belirdi. Batıyorlar ve uyumamı zorlaştırıyorlar. Stres kurdeşenleri olabilir mi?""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Atlet Ayağı (Tinea Pedis),"""Anneciğim, ayaklarım o kadar çok kaşınıyor ki kaşımayı bırakamıyorum! Ve parmaklarımın arasında komik görünüyorlar, sanki beyaz deri soyuluyormuş gibi.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"""Çenemde ve sakal bölgemde kırmızı, iltihaplı şişlikler var. Giderek büyüyorlar ve daha da ağrıyorlar ve yara izi kalmasından endişeleniyorum.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
